City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,Udalguri,IN,26.7667,92.1333,70.9,91,90,8.68,overcast clouds
263,Berezovyy,RU,51.6667,135.7,35.08,78,100,8.43,overcast clouds
264,Ojinaga,MX,29.5667,-104.4167,91.58,26,0,0.0,clear sky
265,Khatanga,RU,71.9667,102.5,-31.04,100,99,3.47,overcast clouds
266,College,US,64.8569,-147.8028,23.22,61,75,4.61,broken clouds
267,Nanortalik,GL,60.1432,-45.2371,36.66,81,97,5.08,overcast clouds
268,Kingston,JM,17.997,-76.7936,85.24,68,20,19.57,few clouds
269,Vilyuysk,RU,63.7553,121.6247,-1.68,100,100,4.27,overcast clouds
270,Borogontsy,RU,62.6683,131.1683,10.13,97,100,3.69,overcast clouds
271,Sisophon,KH,13.5859,102.9737,66.83,69,80,8.41,broken clouds
272,Rabo De Peixe,PT,37.8,-25.5833,58.51,67,40,9.22,scattered clouds
273,San Andres,CO,12.5847,-81.7006,87.82,66,40,16.11,scattered clouds
274,Prainha,BR,-1.8,-53.48,78.24,92,96,1.68,overcast clouds
275,Morant Bay,JM,17.8815,-76.4093,85.71,69,8,10.87,clear sky
276,Lompoc,US,34.6391,-120.4579,70.02,76,40,13.8,scattered clouds
277,Palauig,PH,15.435,119.9045,77.74,74,97,5.95,overcast clouds
278,Port Moresby,PG,-9.4431,147.1797,72.82,100,40,5.75,scattered clouds
279,Necochea,AR,-38.5473,-58.7368,55.63,54,97,22.75,overcast clouds
280,Novyy Urengoy,RU,66.0833,76.6333,1.99,99,100,8.55,overcast clouds
281,Otane,NZ,-39.8833,176.6333,62.01,77,51,0.96,broken clouds
282,Gamba,GA,-2.65,10.0,77.36,94,100,2.89,overcast clouds
283,Fier,AL,40.7239,19.5561,47.57,81,96,3.11,overcast clouds
284,Nizhniy Kuranakh,RU,58.8353,125.4869,15.15,96,100,5.37,light snow
285,Pervomaysk,UA,48.0443,30.8507,36.81,80,100,12.19,overcast clouds
286,Skibbereen,IE,51.55,-9.2667,50.11,89,100,13.69,overcast clouds
287,Pierre,US,44.3683,-100.351,49.12,70,100,23.02,overcast clouds
288,Vvedenskoye,RU,55.4753,65.0847,38.75,86,100,14.56,overcast clouds
289,Porto Walter,BR,-8.2686,-72.7439,83.5,63,76,2.37,broken clouds
290,Buy,RU,58.4786,41.53,19.08,95,98,5.53,overcast clouds
291,Selinia,GR,37.9336,23.5336,59.85,48,20,0.0,few clouds
292,Aksaray,TR,38.3726,34.0254,54.99,46,100,7.63,overcast clouds
293,Labrea,BR,-7.2586,-64.7981,85.51,64,31,1.28,scattered clouds
294,Solnechnyy,RU,50.7214,136.6319,33.04,84,100,7.67,overcast clouds
295,El Sauzal,MX,31.9,-116.6833,63.41,79,61,9.82,broken clouds
296,Itacoatiara,BR,-3.1431,-58.4442,75.85,94,100,3.38,overcast clouds
297,Harper,LR,4.375,-7.7169,80.08,83,100,9.71,overcast clouds
298,Ust-Charyshskaya Pristan,RU,52.3934,83.6635,37.53,79,97,5.75,overcast clouds
299,Dimitrovgrad,RU,54.2139,49.6184,37.13,93,91,4.65,overcast clouds
300,Grabovo,RU,53.3875,45.064,40.53,37,100,2.68,overcast clouds
301,Korla,CN,41.7597,86.1469,56.61,23,0,4.61,clear sky
302,Hofn,IS,64.2539,-15.2082,35.87,95,100,19.46,overcast clouds
303,Neepawa,CA,50.2289,-99.4664,36.0,80,89,3.38,overcast clouds
304,Burla,IN,21.5,83.8667,75.81,24,6,3.24,clear sky
305,Grindavik,IS,63.8424,-22.4338,39.67,93,75,13.8,light intensity drizzle
306,Nishihara,JP,26.1842,127.7558,63.68,76,0,14.97,clear sky
307,Kahului,US,20.8947,-156.47,80.62,67,40,21.85,scattered clouds
308,Jalu,LY,29.0331,21.5482,77.36,13,8,11.88,clear sky
309,Ngunguru,NZ,-35.6167,174.5,66.63,76,8,0.47,clear sky
310,Oranjestad,AW,12.524,-70.027,84.15,70,75,24.16,broken clouds
311,Pathein,MM,16.7833,94.7333,77.23,72,95,2.33,overcast clouds
312,Saint-Louis,SN,16.3333,-15.0,75.88,30,95,14.85,overcast clouds
313,Henties Bay,NA,-22.116,14.2845,61.56,84,0,6.73,clear sky
314,Taoudenni,ML,22.6783,-3.9836,89.31,10,0,10.04,clear sky
315,Richards Bay,ZA,-28.783,32.0377,75.94,81,98,10.38,overcast clouds
316,Black River,JM,18.0264,-77.8487,83.1,65,35,9.01,scattered clouds
317,Worthington,US,40.0931,-83.018,50.99,53,100,8.05,overcast clouds
