City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Kingston,JM,85.24,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
273,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
274,Prainha,BR,78.24,overcast clouds,-1.8,-53.48,Casa Rocha
275,Morant Bay,JM,85.71,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
277,Palauig,PH,77.74,overcast clouds,15.435,119.9045,Alperi Botique Resort
289,Porto Walter,BR,83.5,broken clouds,-8.2686,-72.7439,Secretaria de saúde
293,Labrea,BR,85.51,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
296,Itacoatiara,BR,75.85,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
297,Harper,LR,80.08,overcast clouds,4.375,-7.7169,Screensaver
304,Burla,IN,75.81,clear sky,21.5,83.8667,VSSUT Guest House
307,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
308,Jalu,LY,77.36,clear sky,29.0331,21.5482,صاحبة الفخامة
310,Oranjestad,AW,84.15,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
311,Pathein,MM,77.23,overcast clouds,16.7833,94.7333,Pathein Hotel
315,Richards Bay,ZA,75.94,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
316,Black River,JM,83.1,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
319,Axim,GH,82.06,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
322,Dingle,PH,75.13,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
324,Mattru,SL,76.84,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
325,Palora,EC,80.71,light rain,-1.7,-77.9333,Rancho grande
334,Guadalajara,MX,90.99,few clouds,20.6667,-103.3333,Hotel Aranzazú
335,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
338,Vao,NC,79.29,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
341,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
343,Pineville,US,81.32,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
349,Lalmohan,BD,80.02,clear sky,22.3384,90.7419,Arifur Rahman Miraj
350,Faanui,PF,81.84,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
357,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
362,Sulangan,PH,80.92,overcast clouds,11.1373,123.7228,Maia's Beach Resort
366,Bossangoa,CF,76.53,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
373,Padang,ID,75.79,scattered clouds,-0.9492,100.3543,Mercure Padang
376,Ayorou,NE,89.78,broken clouds,14.7308,0.9174,Hotel Amenokal
377,Lockhart,US,83.05,clear sky,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
380,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
384,Kouroussa,GN,88.72,overcast clouds,10.65,-9.8833,Hotel Paillote
388,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
389,Jatai,BR,76.42,broken clouds,-17.8814,-51.7144,Hotel Califórnia
390,Houma,US,80.02,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
393,Lorengau,PG,80.53,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
396,Sinnamary,GF,78.33,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
397,Tomatlan,MX,88.92,scattered clouds,19.9333,-105.25,El Salvial
401,Matara,LK,77.18,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
402,Sao Gabriel Da Cachoeira,BR,79.52,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
404,Saraland,US,82.42,clear sky,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
405,Mauganj,IN,82.09,clear sky,24.6833,81.8833,Hotel Shagun Palace & Marriage Garden
406,Sur,OM,82.44,few clouds,22.5667,59.5289,Sur Plaza Hotel
407,Loiza,PR,84.81,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
409,Doka,SD,92.52,few clouds,13.5167,35.7667,Um Rakuba Refugee Camp
411,Pucallpa,PE,82.44,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
424,Yenagoa,NG,78.91,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
430,Cabo San Lucas,MX,78.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
450,El Jicaro,GT,99.93,broken clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
451,Inirida,CO,80.29,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
453,Champerico,GT,97.34,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
456,Kilindoni,TZ,82.51,clear sky,-7.9139,39.6668,Bustani B&B
460,Kudahuvadhoo,MV,82.6,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
462,Florida,US,81.91,clear sky,28.7505,-82.5001,Sportsmens Cove
464,Contamana,PE,90.91,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
467,Guapi,CO,81.91,moderate rain,2.5708,-77.8854,Hotel Emperador Guapí
468,Huejuquilla El Alto,MX,86.54,few clouds,22.6,-103.8667,Hotel Huexuquillan
470,Buala,SB,79.34,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
471,Auki,SB,78.85,light rain,-8.7676,160.7034,Auki Motel
475,Pasni,PK,76.78,clear sky,25.2631,63.471,Kashmiri Hotal
